singer_id,gender,status,recording,distance_to_microphone(cm),microphone,audio_interface,DAW,ClearVoice_High,ClearVoice_Mid,ClearVoice_Low,BlackShriek_High,BlackShriek_Mid,DeathGrowl_Mid,DeathGrowl_Low,HardcoreScream_High,HardcoreScream_Mid,HardcoreScream_Low,GrindInhale,PigSqueal,DeepGutturals,TunnelThroat
1,M,Non-professional,Onsite,10,SM58,Focusrite 6i6,Protools,1,1,1,0,3,5,5,0,3,0,0,0,4,1
2,M,Professional,Onsite,3,SM58,Focusrite 6i6,Protools,3,3,3,4,3,5,5,0,1,3,0,0,0,5
3,M,Non-professional,Guided,10,Shure Beta 58a,Zoom R16,Cubase,1,1,1,3,4,5,5,3,0,0,4,4,1,1
4,M,Professional,Onsite,5,SM58,Focusrite 6i6,Protools,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,M,Non-professional,Onsite,5,SM58,Focusrite 6i6,Protools,4,4,4,4,5,5,5,0,0,0,0,0,0,0
6,F,Non-professional,Onsite,2,SM58,Focusrite 6i6,Protools,5,5,5,0,4,5,4,0,0,0,0,0,0,0
7,M,Non-professional,Onsite,2,SM58,Focusrite 6i6,Protools,2,4,4,2,3,4,4,0,3,3,0,0,2,0
8,M,Professional,Guided,2,SM58,Scarlett Solo,Reaper,4,3,2,5,5,5,5,4,4,3,0,2,5,3
9,M,Non-professional,Onsite,2,SM58,Focusrite 6i6,Protools,2,3,2,4,4,4,3,1,2,3,3,1,1,1
10,M,Non-professional,Onsite,10,SM58,Focusrite 6i6,Protools,2,2,1,4,5,5,4,3,3,3,0,0,0,3
11,M,Professional,Onsite,2,SM58,Focusrite 6i6,Protools,5,5,5,2,2,3,3,4,4,4,1,2,3,3
12,M,Professional,Onsite,5,SM58,Focusrite 6i6,Protools,5,5,5,5,5,5,5,5,5,5,3,3,3,1
13,M,Non-professional,Guided,5,SM58,Yamaha N12,Unspecified,0,0,0,4,0,4,5,0,0,0,0,0,0,0
14,M,Non-professional,Onsite,3,SM58,Focusrite 6i6,Protools,3,4,2,5,5,5,5,0,0,0,0,0,4,4
15,M,Non-professional,Onsite,5,SM58,Focusrite 6i6,Protools,2,2,2,3,3,2,2,4,5,4,0,0,0,0
16,M,Non-professional,Onsite,3,SM58,Focusrite 6i6,Protools,4,3,2,0,1,1,1,4,4,3,2,1,1,1
17,M,Non-professional,Guided,5,SM58,Focusrite 6i6,Studio One,2,2,2,4,4,5,5,2,3,3,3,2,5,2
18,F,Professional,Guided,2,SM58,RME babiface pro,Reaper,5,5,5,3,2,2,2,2,3,3,0,3,2,2
19,M,Non-professional,Onsite,2,SM58,Focusrite 6i6,Protools,1,1,1,4,3,1,1,5,5,4,0,0,0,0
20,F,Non-professional,Onsite,3,SM58,Focusrite 6i6,Protools,3,3,3,2,2,4,4,4,5,4,0,0,0,0
21,M,Non-professional,Onsite,3,SM58,Focusrite 2i2,Unspecified,0,0,0,3,3,4,4,0,0,0,0,0,4,0
22,M,Non-professional,Onsite,1,SM58,Focusrite 6i6,Protools,3,2,2,2,1,2,2,5,3,4,0,2,3,2
23,M,Non-professional,Onsite,5,SM58,Focusrite 6i6,Protools,4,4,4,1,1,1,3,5,4,2,0,0,2,0
24,M,Non-professional,Onsite,5,SM58,Focusrite 6i6,Protools,5,5,5,0,0,0,0,3,0,0,0,0,0,0
25,F,Non-professional,Onsite,2,SM58,Scarlett Solo,Unspecified,1,1,1,3,3,3,5,1,1,0,0,5,5,5
26,M,Non-professional,Onsite,5,SM58,Focusrite 6i6,Protools,2,2,2,2,2,5,4,1,1,1,1,0,3,1
27,M,Professional,Onsite,2,SM58,Focusrite 6i6,Protools,4,4,4,1,1,1,1,4,4,4,0,1,0,1
